,date,stock,entry,exit,qty,entry_time,exit_time,pnl,capital,pnl_pct
0,2015-05-04,KPRMILL,62.25,64.0,1606,09:16:00,15:10:00,-2810.5,100000.0,-0.028112449799196786
1,2015-05-04,WELSPUNLIV,48.2,49.6,2074,09:16:00,15:10:00,-2903.599999999997,100000.0,-0.02904564315352694
2,2015-05-04,WELCORP,84.75,82.8,1179,09:16:00,15:10:00,2299.0500000000034,100000.0,0.02300884955752216
3,2015-05-05,BHEL,162.73,163.23,474,09:16:00,15:10:00,-237.0,96584.95000000001,-0.0030725742026669945
4,2015-05-05,KPRMILL,64.5,63.35,1197,09:16:00,15:10:00,1376.5499999999984,96584.95000000001,0.017829457364341064
5,2015-05-05,ADANIPORTS,344.7,343.45,224,09:16:00,15:10:00,280.0,96584.95000000001,0.003626341746446185
6,2015-05-05,ADANIENT,703.35,715.7,109,09:16:00,15:10:00,-1346.1500000000024,96584.95000000001,-0.017558825620245997
7,2015-05-06,GESHIP,355.25,349.85,217,09:16:00,15:10:00,1171.7999999999952,96658.35,0.01520056298381415
8,2015-05-06,JUBLPHARMA,178.5,166.65,433,09:16:00,15:10:00,5131.049999999997,96658.35,0.06638655462184871
9,2015-05-06,CARBORUNIV,187.55,180.45,412,09:16:00,15:10:00,2925.2000000000094,96658.35,0.03785657158091187
10,2015-05-08,TCS,1283.93,1260.8,109,09:16:00,15:10:00,2521.170000000012,105886.40000000001,0.018015000817801677
11,2015-05-08,IIFL,182.0,179.7,775,09:16:00,15:10:00,1782.5000000000089,105886.40000000001,0.0126373626373627
12,2015-05-08,ABFRL,179.6,185.5,786,09:16:00,15:10:00,-4637.400000000004,105886.40000000001,-0.032850779510022306
13,2015-05-11,ABFRL,195.65,174.25,719,09:16:00,15:10:00,15386.600000000004,105552.67000000003,0.10937899309992336
14,2015-05-11,IIFL,180.2,177.3,781,09:16:00,15:10:00,2264.8999999999824,105552.67000000003,0.016093229744727953
15,2015-05-11,SWANENERGY,65.0,66.2,2165,09:16:00,15:10:00,-2598.0000000000064,105552.67000000003,-0.018461538461538505
16,2015-05-12,HCLTECH,467.55,457.05,206,09:16:00,15:10:00,2163.0,120606.17000000001,0.02245749117741418
17,2015-05-12,J&KBANK,102.55,103.05,940,09:16:00,15:10:00,-470.0,120606.17000000001,-0.0048756704046806435
18,2015-05-12,ULTRACEMCO,2818.5,2735.05,34,09:16:00,15:10:00,2837.299999999994,120606.17000000001,0.029607947489799474
19,2015-05-13,EICHERMOT,1762.6,1816.3,141,09:16:00,15:10:00,-7571.700000000006,125136.47,-0.030466356518779103
20,2015-05-13,HEROMOTOCO,2336.4,2344.7,107,09:16:00,15:10:00,-888.0999999999708,125136.47,-0.0035524738914568255
21,2015-05-14,JUBLFOOD,154.6,156.8,603,09:16:00,15:10:00,-1326.6000000000104,116676.67000000003,-0.01423027166882288
22,2015-05-14,RKFORGE,118.0,116.0,791,09:16:00,15:10:00,1582.0,116676.67000000003,0.01694915254237288
23,2015-05-14,TANLA,18.1,17.8,5156,09:16:00,15:10:00,1546.8000000000036,116676.67000000003,0.016574585635359153
24,2015-05-14,ASAHIINDIA,146.0,143.9,639,09:16:00,15:10:00,1341.8999999999965,116676.67000000003,0.014383561643835578
25,2015-05-14,CUB,82.52,82.97,1131,09:16:00,15:10:00,-508.95000000000323,116676.67000000003,-0.0054532234609791915
26,2015-05-15,TANLA,18.1,17.65,5273,09:16:00,15:10:00,2372.850000000015,119311.82,0.02486187845303883
27,2015-05-15,CUB,83.43,82.56,1144,09:16:00,15:10:00,995.2800000000052,119311.82,0.01042790363178718
28,2015-05-15,HEROMOTOCO,2387.1,2374.5,39,09:16:00,15:10:00,491.39999999999645,119311.82,0.005278371245444225
29,2015-05-15,BLUEDART,6750.0,6950.0,14,09:16:00,15:10:00,-2800.0,119311.82,-0.02962962962962963
30,2015-05-15,ASIANPAINT,806.5,789.45,118,09:16:00,15:10:00,2011.8999999999946,119311.82,0.021140731556106577
31,2015-05-18,DIVISLAB,900.0,908.88,108,09:16:00,15:10:00,-959.0399999999995,122383.25000000001,-0.009866666666666662
32,2015-05-18,UNIONBANK,160.1,157.55,611,09:16:00,15:10:00,1558.0499999999895,122383.25000000001,0.01592754528419727
33,2015-05-18,BLUEDART,6903.0,6782.25,14,09:16:00,15:10:00,1690.5,122383.25000000001,0.01749239461103868
34,2015-05-18,NATCOPHARM,468.71,489.8,208,09:16:00,15:10:00,-4386.720000000007,122383.25000000001,-0.04499583964498311
35,2015-05-18,NESTLEIND,716.1,707.95,136,09:16:00,15:10:00,1108.399999999997,122383.25000000001,0.011381092026253285
36,2015-05-19,SJVN,24.7,24.3,3931,09:16:00,15:10:00,1572.3999999999944,121394.44,0.016194331983805613
37,2015-05-19,3MINDIA,8280.0,8099.0,11,09:16:00,15:10:00,1991.0,121394.44,0.021859903381642513
38,2015-05-19,DIVISLAB,907.08,899.0,107,09:16:00,15:10:00,864.5600000000044,121394.44,0.008907703840896107
39,2015-05-20,SONATSOFTW,63.6,60.65,1582,09:16:00,15:10:00,4666.900000000004,125822.4,0.046383647798742184
40,2015-05-20,HBLENGINE,57.8,56.5,1741,09:16:00,15:10:00,2263.299999999995,125822.4,0.02249134948096881
41,2015-05-21,PIIND,716.6,699.7,148,09:16:00,15:10:00,2501.1999999999966,132752.6,0.02358358917108565
42,2015-05-21,WHIRLPOOL,764.0,755.0,139,09:16:00,15:10:00,1251.0,132752.6,0.011780104712041885
43,2015-05-21,ITI,22.45,21.7,4730,09:16:00,15:10:00,3547.5,132752.6,0.0334075723830735
44,2015-05-22,BATAINDIA,564.5,561.18,198,09:16:00,15:10:00,657.3600000000099,140052.3,0.005881310894597077
45,2015-05-22,KAJARIACER,411.85,413.5,272,09:16:00,15:10:00,-448.7999999999938,140052.3,-0.004006312978025925
46,2015-05-22,WHIRLPOOL,745.05,740.5,150,09:16:00,15:10:00,682.4999999999932,140052.3,0.006106972686396825
47,2015-05-22,GRASIM,733.35,724.5,152,09:16:00,15:10:00,1345.2000000000035,140052.3,0.012067907547555767
48,2015-05-25,SAMMAANCAP,528.3,528.35,215,09:16:00,15:10:00,-10.750000000014666,142288.56,-9.464319515439753e-05
49,2015-05-25,TATAELXSI,618.08,617.0,184,09:16:00,15:10:00,198.72000000000753,142288.56,0.0017473466217965974
50,2015-05-25,HCLTECH,494.45,499.8,230,09:16:00,15:10:00,-1230.5000000000052,142288.56,-0.01082010314490853
51,2015-05-26,HCLTECH,500.8,497.45,225,09:16:00,15:10:00,753.7500000000051,141246.03,0.006689297124600684
52,2015-05-26,POWERGRID,76.6,76.9,1475,09:16:00,15:10:00,-442.50000000001677,141246.03,-0.003916449086162029
53,2015-05-26,JMFINANCIL,47.0,47.55,2404,09:16:00,15:10:00,-1322.1999999999932,141246.03,-0.011702127659574407
54,2015-05-27,BRITANNIA,1264.32,1289.97,110,09:16:00,15:10:00,-2821.50000000001,140235.08,-0.020287585421412374
55,2015-05-27,AEGISLOG,70.02,71.1,2002,09:16:00,15:10:00,-2162.1599999999967,140235.08,-0.015424164524421571
56,2015-05-27,ZENTEC,66.75,66.75,2100,09:16:00,15:10:00,0.0,140235.08,0.0
57,2015-05-28,ONGC,212.65,208.55,508,09:16:00,15:10:00,2082.799999999997,135251.41999999998,0.019280507876792825
58,2015-05-28,BRITANNIA,1303.0,1330.0,83,09:16:00,15:10:00,-2241.0,135251.41999999998,-0.02072141212586339
59,2015-05-28,BBTC,511.0,526.05,211,09:16:00,15:10:00,-3175.54999999999,135251.41999999998,-0.029452054794520458
60,2015-05-28,BEL,33.8,33.7,3201,09:16:00,15:10:00,320.09999999998183,135251.41999999998,0.002958579881656637
61,2015-05-28,IOC,44.9,45.05,2409,09:16:00,15:10:00,-361.34999999999656,135251.41999999998,-0.003340757238307318
62,2015-05-29,BEL,33.8,36.2,3121,09:16:00,15:10:00,-7490.400000000018,131876.41999999998,-0.07100591715976348
63,2015-05-29,GODREJIND,376.3,379.0,280,09:16:00,15:10:00,-755.9999999999968,131876.41999999998,-0.007175126229072518
64,2015-05-29,BRITANNIA,1335.97,1264.7,78,09:16:00,15:10:00,5559.059999999999,131876.41999999998,0.05334700629505152
65,2015-06-01,FORTIS,175.8,162.0,587,09:16:00,15:10:00,8100.600000000007,129189.07999999997,0.07849829351535842
66,2015-06-01,NHPC,20.8,19.95,4968,09:16:00,15:10:00,4222.8000000000075,129189.07999999997,0.040865384615384685
67,2015-06-01,TIMKEN,625.15,638.0,165,09:16:00,15:10:00,-2120.2500000000036,129189.07999999997,-0.020555066783971884
68,2015-06-01,MASTEK,428.0,444.5,241,09:16:00,15:10:00,-3976.5,129189.07999999997,-0.038551401869158876
69,2015-06-02,IRB,25.55,24.9,4240,09:16:00,15:10:00,2756.000000000009,135415.72999999998,0.02544031311154607
70,2015-06-02,BPCL,123.0,119.9,880,09:16:00,15:10:00,2727.999999999995,135415.72999999998,0.02520325203252028
71,2015-06-02,OBEROIRLTY,310.6,310.7,348,09:16:00,15:10:00,-34.79999999998813,135415.72999999998,-0.00032195750160967767
72,2015-06-02,ZENTEC,81.05,75.85,1336,09:16:00,15:10:00,6947.2000000000035,135415.72999999998,0.06415792720542879
73,2015-06-03,GLAXO,1650.0,1597.95,119,09:16:00,15:10:00,6193.949999999994,147812.13,0.031545454545454515
74,2015-06-03,OBEROIRLTY,309.0,294.55,637,09:16:00,15:10:00,9204.649999999992,147812.13,0.04676375404530741
75,2015-06-04,SAREGAMA,18.85,19.2,11544,09:16:00,15:10:00,-4040.3999999999755,163210.72999999998,-0.018567639257294315
76,2015-06-04,COFORGE,81.0,80.0,2686,09:16:00,15:10:00,2686.0,163210.72999999998,0.012345679012345678
77,2015-06-05,BEML,1148.0,1186.85,187,09:16:00,15:10:00,-7264.9499999999825,161856.33000000002,-0.033841463414634065
78,2015-06-05,BAYERCROP,3800.0,3771.45,56,09:16:00,15:10:00,1598.8000000000102,161856.33000000002,0.00751315789473689
79,2015-06-08,COALINDIA,379.6,368.95,329,09:16:00,15:10:00,3503.8500000000113,156190.18000000005,0.0280558482613278
80,2015-06-08,MASTEK,452.7,446.7,276,09:16:00,15:10:00,1656.0,156190.18000000005,0.013253810470510273
81,2015-06-08,BEML,1191.05,1182.0,104,09:16:00,15:10:00,941.1999999999953,156190.18000000005,0.007598337601276147
82,2015-06-08,ZEEL,337.15,332.5,370,09:16:00,15:10:00,1720.4999999999916,156190.18000000005,0.013792080676256792
